[ 2026-06-01 20:27:29,482 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-01 20:27:31,377 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-01 20:27:31,378 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-01 20:27:31,378 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-01 20:27:31,449 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-01 20:27:31,449 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-01 20:27:31,452 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-01 20:27:31,472 ] 32 root - INFO - Required number of columns:2
[ 2026-06-01 20:27:31,472 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-01 20:27:31,472 ] 32 root - INFO - Required number of columns:2
[ 2026-06-01 20:27:31,472 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-01 20:27:31,611 ] 28 root - INFO - data Validation Completed
[ 2026-06-01 20:27:31,611 ] 31 root - INFO - data Transformation started
[ 2026-06-01 20:27:31,611 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-01 20:27:31,611 ] 65 root - INFO - Starting data transformation
[ 2026-06-01 20:27:31,630 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-01 20:27:31,630 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-01 20:27:31,638 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-01 20:27:31,642 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-01 20:27:31,642 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-01 20:27:31,646 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-01 20:27:31,648 ] 35 root - INFO - data Transformation completed
[ 2026-06-01 20:27:31,648 ] 37 root - INFO - Model Training sstared
